Problem,Configuration,Search,Heuristic,Optimal,Status,Time(s),Cost,StatesEvaluated,PlanLength
problem-01,EHC-FF-Sat,0,0,No,SOLVED,0.02,-1,108,0
problem-01,EHC-hadd-help-Sat,0,5,No,SOLVED,0.02,-1,115,0
problem-01,BFS-FF-Sat,1,0,No,SOLVED,0.02,-1,50,0
problem-01,BFS-hadd-help-Sat,1,5,No,SOLVED,0.02,-1,50,0
problem-02,EHC-FF-Sat,0,0,No,SOLVED,0.02,-1,248,0
problem-02,EHC-hadd-help-Sat,0,5,No,SOLVED,0.03,-1,475,0
problem-02,BFS-FF-Sat,1,0,No,SOLVED,0.02,-1,214,0
problem-02,BFS-hadd-help-Sat,1,5,No,SOLVED,0.02,-1,166,0
problem-03,EHC-FF-Sat,0,0,No,SOLVED,0.02,-1,5,0
problem-03,EHC-hadd-help-Sat,0,5,No,SOLVED,0.02,-1,5,0
problem-03,BFS-FF-Sat,1,0,No,SOLVED,0.02,-1,8,0
problem-03,BFS-hadd-help-Sat,1,5,No,SOLVED,0.02,-1,8,0
problem-04,EHC-FF-Sat,0,0,No,SOLVED,0.02,-1,95,0
problem-04,EHC-hadd-help-Sat,0,5,No,SOLVED,0.04,-1,1607,0
problem-04,BFS-FF-Sat,1,0,No,SOLVED,0.02,-1,46,0
problem-04,BFS-hadd-help-Sat,1,5,No,SOLVED,0.04,-1,1292,0
